10th Street Park	OR	1	43.3573	-124.2212
11th Street Park	OR	1	45.2146	-123.0901
13th Avenue City Park	OR	1	45.2535	-122.6812
19th Avenue City Park	OR	1	45.2784	-122.6730
32nd Street Community Sports Park	OR	1	44.0371	-122.9843
4-O Ranch State Wildlife Area	WA	1	46.0426	-117.3659
4H Camp	OR	1	43.2318	-123.9970
52 & Willamette City Park	OR	1	43.9962	-123.1006
53rd Avenue Community Park	OR	1	45.5211	-122.9285
5th Street Park	OR	1	43.1784	-124.1859
6 Mile Campsite	WA	1	48.4632	-120.7828
6th & Gladys Park	CA	1	34.0403	-118.2425
6th Street Tenmile Lake Boat Ramp	OR	1	43.5740	-124.1767
7th Street Park	OR	1	44.6375	-121.1256
8th Street Tenmile Lake Boat Ramp	OR	1	43.5735	-124.1746
9th Street Park	OR	1	45.4532	-123.8490
A J Bolon Historic Monument	WA	1	45.9965	-120.8848
A M Kennedy Park	OR	1	45.4887	-122.7820
A Street Intramural Field	CA	1	38.5441	-121.7477
A Street Park	CA	1	35.1375	-119.4754
ABC Camp Rustic Campsite	CA	1	36.0233	-121.4299
AT&T Park	CA	1	37.7784	-122.3894
Aarons Lake	OR	2	45.7634	-122.7986
Abalone Campground	CA	1	41.1351	-124.1592
Abalone Cove	CA	2	35.5569	-121.1044
Abalone Cove Ecological Reserve	CA	1	33.7417	-118.3784
Abalone Cove State Marine Conservation Area	CA	1	33.7097	-118.3870
Abalone Point	CA	2	33.3436	-118.3174
Abbe Park	CA	1	36.8444	-121.5394
Abbey Island	WA	2	47.7148	-124.4213
Abbot Butte	OR	2	44.5576	-121.7090
Abbot Lake	OR	2	46.1775	-123.9563
Abbott	CA	0	39.0204	-121.6255
Abbott Butte	OR	2	42.9429	-122.5489
Abbott Creek Research Natural Area	OR	1	42.9348	-122.5239
Abbott Lake	CA	2	39.0201	-121.6093
Abbott Lakes	CA	2	36.2312	-121.4817
Abbotts Lagoon	CA	2	38.1174	-122.9533
Abbotts Peak	CA	2	37.9763	-120.6224
Abel Canyon Campground	CA	1	34.8228	-119.8626
Abels Point	WA	2	46.2538	-117.5863
Abercrombie Mountain	WA	2	48.9282	-117.4591
Aberdeen	CA	0	36.9780	-118.2534
Aberdeen	WA	0	46.9754	-123.8157
Aberdeen Gardens	WA	0	47.0626	-123.7796
Aberdeen Junction	WA	0	46.9787	-123.7629
Abernathy Creek State Wildlife Area	WA	1	46.1950	-123.1624
Abernathy Fish Technology Center	WA	1	46.2263	-123.1478
Abernathy Lake	WA	2	48.4828	-120.5104
Abernathy Mountain	WA	2	46.3354	-123.0954
Abernathy Peak	WA	2	48.4774	-120.5243
Abernathy Point	WA	2	46.1904	-123.1676
Abernathy Truck Trail	WA	1	46.3218	-123.0246
Abernethy Creek City Park	OR	1	45.3632	-122.5970
Abernethy Island	OR	2	45.3521	-122.6173
Abernethy Lake	OR	2	43.6022	-122.1012
Abert Rim	OR	2	42.5646	-120.1769
Abert Rim Historical Marker	OR	1	42.5874	-120.1816
Abert Rim Viewpoint	OR	1	42.4304	-120.2177
Abes Mountain	OR	2	43.1335	-122.8023
Abiel Lake	WA	2	47.3485	-121.4621
Abiel Peak	WA	2	47.3476	-121.4493
Abilene	CA	0	36.1455	-119.0537
Abiqua Creek Park	OR	1	44.9568	-122.6234
Abiqua Lake	OR	2	44.8792	-122.5054
Abney Butte	CA	2	41.9760	-123.1603
Abolitos Park	CA	1	32.9834	-117.0600
Abraham Cove	WA	2	47.9182	-118.3442
Abraham Lincoln Shrine	CA	1	34.0536	-117.1837
Abrams Lake	CA	2	41.3369	-122.3554
Abrams Lake Mobile Estates	CA	0	41.3379	-122.3553
Abrams Park	WA	1	45.8184	-122.7376
Acacia Park	CA	1	33.9300	-118.4237
Acalanes Ridge	CA	0	37.9047	-122.0786
Acampo	CA	0	38.1746	-121.2786
Ace Pond	OR	2	42.5991	-121.1772
Ace Williams Mountain	OR	2	43.2797	-123.0380
Acebedo	CA	0	35.8319	-120.2018
Acker Divide Trail	OR	1	43.0201	-122.5748
Acker Island	CA	2	37.9974	-121.4488
Acker Lake	WA	2	46.0160	-121.7915
Acker Peak	CA	2	38.1094	-119.5093
Ackerley Lake	OR	2	44.0140	-124.0821
Ackerman Campground	CA	1	40.7857	-122.7717
Ackerman Island	WA	2	45.5732	-122.4570
Ackerson Mountain	CA	2	37.8380	-119.8674
Acme	OR	0	43.9798	-124.0610
Acme	WA	0	48.7171	-122.2052
Acolita	CA	0	33.0712	-115.1847
Acorn	CA	0	34.6528	-120.4932
Acorn Acres Park	CA	1	34.2139	-118.8720
Acorn City Park	OR	1	44.0443	-123.1387
Acorn Meadows Mobile Home Park	WA	0	47.1260	-122.5382
Acorn Recreation Area	CA	1	38.1771	-120.7972
Acorn Woman Lakes	OR	2	42.0405	-123.0203
Acorn Woman Mountain	OR	2	42.0633	-122.9880
Acorn Woman Peak	OR	2	42.0696	-123.0120
Acrodectes Peak	CA	2	36.8608	-118.3751
Actis	CA	0	34.9586	-118.1487
Active Cove	WA	2	48.7854	-122.9677
Acton	CA	0	34.4700	-118.1967
Acton Butte	OR	2	43.3752	-117.2260
Acton Camp	CA	1	34.4500	-118.1981
Acty Cow Camp	OR	1	42.1091	-119.1208
Acty Mountain	OR	2	42.1038	-119.1330
Acuna Park	CA	1	34.0220	-118.1162
Ada County Park	OR	1	43.8693	-124.0790
Ada Givens Park	CA	1	37.3072	-120.4532
Ada Harris Park	CA	1	33.0314	-117.2742
Adair County Park	OR	1	44.6762	-123.2109
Adair Lake	CA	2	37.6830	-119.4073
Adair Point	OR	2	45.8287	-123.9624
Adair Village	OR	0	44.6707	-123.2179
Adam Park	CA	1	34.9355	-120.4424
Adam Rogers Park	CA	1	37.7305	-122.3839
Adams	CA	0	38.8563	-122.7197
Adams	OR	0	45.7674	-118.5625
Adams Acres Park	OR	1	45.5587	-122.8959
Adams Avenue Park	CA	1	32.7625	-117.1181
Adams Butte	OR	2	42.4938	-119.6663
Adams Camp	CA	1	38.4505	-119.7649
Adams City Park	OR	1	45.7671	-118.5619
Adams Cove	CA	2	34.0297	-120.4404
Adams Field	CA	1	34.1317	-117.8869
Adams Fork Campground	WA	1	46.3393	-121.6462
Adams Hill	CA	2	34.1286	-118.2356
Adams Lake	CA	2	41.1126	-122.9628
Adams Lake	OR	2	45.9512	-122.8551
Adams Lake	WA	2	47.0758	-118.0288
Adams Mountain	OR	2	43.6204	-122.7222
Adams Mountain	WA	2	48.0904	-118.0925
Adams Neck	CA	2	39.8388	-120.1513
Adams Park	CA	1	32.7962	-115.5578
Adams Peak	CA	2	39.9107	-120.1002
Adams Point	CA	2	37.8049	-122.2586
Adams Point	WA	2	48.3015	-120.6498
Adams Station	CA	0	41.8426	-123.9926
Adams Trail	CA	1	33.3395	-116.9170
Adamsville State Historic Landmark	CA	1	37.5844	-121.0738
Adco	WA	0	47.4174	-119.3625
Addy	WA	0	48.3560	-117.8375
Addy Mountain	WA	2	48.4119	-117.7564
Adel	OR	0	42.1774	-119.8986
Adela	CA	0	37.7885	-120.8633
Adelaida	CA	0	35.6455	-120.8735
Adelaide	WA	0	47.3309	-122.3604
Adelaide Lake	WA	2	46.9833	-121.7413
Adelanto	CA	0	34.5828	-117.4092
Adelanto Park	CA	1	34.5758	-117.4078
Adell Butte	OR	2	43.2457	-121.9223
Adelma Beach	WA	0	48.0493	-122.8291
Aders Sump	OR	2	45.3290	-122.9901
Adin	CA	0	41.1938	-120.9452
Adin Summit Pond	CA	2	41.3374	-120.9355
Adin-Lookout	CA	0	41.3039	-121.2599
Adkins	WA	0	46.2524	-118.7047
Adkins Mountain	CA	2	37.1380	-119.8107
Adlena Park	CA	1	33.8725	-117.9556
Admiral Kidd Park	CA	1	33.7956	-118.2165
Admiral William Standley State Recreation Area	CA	1	39.6462	-123.6183
Admiralty Bay	WA	2	48.1590	-122.6385
Admiralty Head	WA	2	48.1554	-122.6793
Admiralty Inlet Natural Area Preserve	WA	1	48.1752	-122.6850
Admiralty Park	CA	1	33.9842	-118.4464
